,Occupational_Category,Number_of_Full_Time_Year_Round_Workers_Total_Estimate,Number_of_Full_Time_Year_Round_Workers_Total_MOE,Number_of_Full_Time_Year_Round_Workers_Men_Estimate,Number_of_Full_Time_Year_Round_Workers_Men_MOE,Number_of_Full_Time_Year_Round_Workers_Women_Estimate,Number_of_Full_Time_Year_Round_Workers_Women_MOE,Percentage_of_Women_in_Occupational_Category_Estimate,Percentage_of_Women_in_Occupational_Category_MOE,Median_Earnings_In_Dollars_Total_Estimate,Median_Earnings_In_Dollars_Total_MOE,Median_Earnings_In_Dollars_Men_Estimate,Median_Earnings_In_Dollars_Men_MOE,Median_Earnings_In_Dollars_Women_Estimate,Median_Earnings_In_Dollars_Women_MOE,Womens_Earnings_As_A_Percentage_of_Mens_Earnings_Estimate,Womens_Earnings_As_A_Percentage_of_Mens_Earnings_MOE
0,Total,106609098,133999,60708461.0,96733,45900637.0,88317,43.05508429,0.1,45860,66,50741,54,40675,54,80.2,0.1
1,"Management, Business, Science, and Arts Occupations",44274859,130437,22578160.0,79447,21696699.0,82092,49.00455809,0.1,65004,161,76692,155,55474,144,72.3,0.3
2,"Management, Business, and Financial Occupations",19812917,75230,11195064.0,55370,8617853.0,46676,43.49613437,0.2,70602,135,80473,201,60751,124,75.5,0.2
3,Management Occupations,13689475,62435,8380083.0,44079,5309392.0,40577,38.78448224,0.2,73688,473,81829,235,62254,175,76.1,0.3
4,Chief executives,1068258,17593,813898.0,14815,254360.0,7288,23.81072737,0.6,130266,1910,141108,1375,103564,4259,73.39342915,3.1
5,General and operations managers,834005,12760,588111.0,9849,245894.0,8348,29.48351629,0.9,70686,627,76246,776,56906,1111,74.63473494,1.6
6,Legislators,13966,1709,7431.0,1235,6535.0,1456,46.79220965,8.7,65592,5454,67233,12792,63788,10085,94.87602814,23.5
7,Advertising and promotions managers,42996,3032,17752.0,1984,25244.0,2262,58.71243837,3.2,67082,3498,79594,6833,61173,3088,76.8562957,7.7
8,Marketing and sales managers,843840,15667,464995.0,10519,378845.0,10042,44.89535931,0.8,82357,1263,100137,1477,69079,2413,68.98449125,2.6
9,Public relations and fundraising managers,51121,3755,16705.0,1963,34416.0,3046,67.32262671,3.3,77835,4128,84016,7323,75260,3792,89.57817559,9
10,Administrative services managers,136431,5932,82550.0,4394,53881.0,4158,39.49322368,2.5,64208,1927,69788,3102,60177,1731,86.2282914,4.6
11,Computer and information systems managers,564747,10510,413250.0,9263,151497.0,5243,26.82564051,0.8,103513,1960,107411,1908,95603,2703,89.00671253,3
12,Financial managers,1067163,18404,506068.0,10743,561095.0,14469,52.57819096,1.0,76178,753,100505,689,62089,579,61.77702602,0.7
14,Human resources managers,369518,9073,143842.0,5734,225676.0,7354,61.07307357,1.3,72008,801,77463,4593,70342,1351,90.80722409,5.7
15,Training and development managers,49960,3854,23959.0,2914,26001.0,3042,52.04363491,4.6,72153,4805,82392,7206,64686,5535,78.51004952,9.6
16,Industrial production managers,220263,7532,176191.0,6559,44072.0,3231,20.00880765,1.3,76077,1099,77262,1807,70073,4005,90.69529652,5.6
17,Purchasing managers,181255,6560,94445.0,5029,86810.0,4236,47.89385120000001,1.6,76501,1625,82307,2505,70023,2812,85.07538848,4.3
18,"Transportation, storage, and distribution managers",222794,7309,182671.0,7383,40123.0,3402,18.00901281,1.4,52485,1573,52318,1091,54796,3599,104.7364196,7.2
19,"Farmers, ranchers, and other agricultural managers",451680,9794,400989.0,9109,50691.0,3094,11.22276833,0.6,41404,525,42190,737,30405,1257,72.06684048,3.2
20,Construction managers,573250,12237,528329.0,11869,44921.0,3637,7.836197122000001,0.6,71331,693,71907,803,62218,3121,86.52565119,4.4
21,Education administrators,747962,12539,282062.0,8717,465900.0,8797,62.28926068,0.5,70748,476,80380,827,64509,1589,80.25503857,2.1
22,Architectural and engineering managers,144812,5961,131956.0,5939,12856.0,1857,8.877717316,1.2,130293,2326,130300,2512,130255,6336,99.96546431,5.2
23,Food service managers,792807,16772,436773.0,11837,356034.0,11181,44.90802932,1.0,38380,1296,42601,1510,31861,485,74.78932419,2.9
25,Gaming managers,15477,1758,10129.0,1417,5348.0,1170,34.55450023,6.5,55674,5819,56664,8926,52872,6227,93.30792037,18.4
26,Lodging managers,107568,5734,50893.0,3792,56675.0,4558,52.68760226,3.2,45875,1807,51697,1832,41285,1145,79.85956632,3.6
27,Medical and health services managers,606615,11531,176012.0,6730,430603.0,9999,70.98456187,0.9,71739,750,87311,3047,66855,876,76.57110788,2.9
28,Natural sciences managers,17916,1981,8464.0,1527,9452.0,1392,52.7573119,5.1,92161,11812,111817,10376,76768,9964,68.65503457,11
